Bhojpuri Morisien,Kreol Morisien,English
apsos,regre,regret
hamke bahut apsos ba ki tu nay ayla,mo ena buku regre ki to pa vini,i deeply regret that you did not come
i galthi ke kareke hamke abhi tak apsos ba,mo ankor gayn regre lor sa fot la,i still regret making that mistake
hamke apne ma bap se jhuth bolke apsos ba,mo regrete monn koz manti ar mo paran,i regret lying to my parents
arram,repo,rest
thoda arram kar le tu bahut thak gal ba,pran enn ti repo tonn byen fatige,take some rest you are very tired
kam khatam ho gal ab sab log arram karata,travay in fini aster tu dimunn pe pran enn repo,work is over now everyone is resting
bimarr admi ke arram bahut jaruri ba,repo li inportan pou bann dimunn malad,rest is very important for sick people
gawahh,temwin,testify bear witnes
ham us aksidan ke gawahh bani,mo ti enn temwin dan sa aksidan la,i was a witness to that accident
court me gawahh sach bole ke tchahi,dan lakur enn temwin bizin dir laverite,a witness must tell the truth in court
okar gawahh police ke mil gal ba,lapolis finn gayn so temwin,the police have found their witness
tamasa,spektak,show
kal ham log tamasa dekhke jaiba,dime nu pu al get spektak la,we will watch the show tomorrow
tamasa tin baje se surru hoyela,spektak la kumanse a trwazyer,the show starts at three o clock
lekol me tamasa dekh ke tohar man lagal ki nay,to finn kontan spektak dan lekol la,did you enjoy the show at school
yad kare ke,rapel,remember
tu okar bat yad kare la na,to rapel se ki li ti dir,do you remember what he said
ham roj apan ma ke yad kare la,mo rapel mo mama tulezur,i remember my mother every day
ham purana dhinn yad kare ke mann kare la,mo gayn anvi rapel bann zur lontan,i feel like remembering the old days
sadhi,maryaz,wedding
ham kal sadhi me jaiba,dime mo pu al dan maryaz,i will go to the wedding tomorrow
ham sadhi khatir ek rrob kharidli,nu finn aste enn rob pou maryaz,we bought a dress for the wedding
sadhi june ke mahina me ba,maryaz la dan mwa zwen,the wedding is in month of june
bimarr,malad,sick
ouh bimarr ho gal ba tab lekol nahi gal,li ti malad alor li pann al lekol,he was sick so he did not go to school
agar tu bimarr ba tab dokterr ke dikha da,si to malad al get enn dokter,if you are sick then see a doctor
ham bimarr baani tab arram karat baani,mo malad alor mo pe repose,i am resting because i am sick
jaharr,pwason,poison
ham log tchuha marre khatir jaharr serrvi karat baani,nu servi pwason pu tuy lera,we use poison to kill rats
laykan log se jaharr durr rakho,gard pwason lwen ar bann zanfan,keep poison away from children
u hamarr kutta ke jaharr delan,li finn donn mo lisyin pwason,he gave my dog poison
adat,labitid,habit
hamke tcha piye ke adat ba,mo ena labitid bwar dite,i have a habit of drinking tea
tou roj kitab parrhe ke adat ba,to ena labitid lir liv tulezur,you have a habit of reading books daily
sigarett piye ke adat kharab ha,fim sigaret se enn move labitid,smoking is a bad habit
atchraj,etranz,strange
aj kuchh atchraj hola,azordi kiksoz etranz inn arive,something strange happened today
u admi atchraj ba,sa dimunn la etranz,that man is strange
anjaan log se bat nai kare ke tchahi,nou pa bizin koz ar bann etranze,we should not talk to strangers
madad,ed,help
ii bahut log ke madad karat ba,li ti pe ed buku dimunn,he was helping many people
hamke dusarr ke madad kareke khusi rahe la,mo kontan ed bann lezot,i like helping others
tu hamar kam me madad kar sakat ho,eski to kapav ed mwa dan mo travay,can you help me with my work
bhag,destin,destiny
hamra ke bhag par biswas ba,mo kwar dan destin,i believe in fate
jonn bhag me likhal ba u ho jaiba,seki inn ekrir dan destin pu arive,whatever is written in fate will happen
hamaar bhag achchha ba,mo destin bon,i have a good fate
dawat,festin,invitation
aj raat me dawat ba,ena enn festin aswar,there is a feast tonight
ham dawat me jathayn,mo pe al dan festin la,i am going to the feast
u hamke dawat ke neota deylal ba,li finn invit mwa dan so festin,he invited me to his feast
haq,drwa,right
hamra adhikar ba padhe ke,mo ena drwa pu lir,i have the right to study
sabke haq barabar ba,tu dimunn ena drwa egal,everyone has equal rights
tohar haq ba apan rai dewe ke,to ena drwa pu donn to lopinyon,you have the right to give your opinion
hamla,atak,attack
police hamla wa roke dela,lapolis finn aret atak la,the police stopped the attack
ii janawarr tor par hamla kar sakat ba,sa zanimo kapav atak twa,this animal can attack you
kuchh kharab log lekol par hamla karla,bann move dimunn finn atak lekol la,some bad people attacked the school
sarrab,divin,alcoholic drink
ham sarrab nay pi,mo pa bwar divin,i do not drink alcohol
sarrab se swast kharab ho sakat ba,divin kapav afekte nu lasante,alcohol can harm health
ham kal raat sarrab pi lih,mo ti bwar divin hier swar,i drank alcohol last night
kayntchi,sizo,scissors
kayntchi table pe rakhal ba,sizon pe lor latab,the scissors are on the table
ham naya kayntchi kharidni,mo finn aste enn nouvo sizon,i bought a new pair of scissors
kayntchi se kagaj kaat la,koup papye la avek sizon,cut the paper with the scissors
awrat,fam,wife
awrat bajaar se sabzi anle ba,fam finn amen legim depi bazar,the wife brought vegetables from the market
hamri awrat gharr me ba,mo fam dan lakaz,my wife is at home
u apan awrat se bahut pyaar kare la,li kontan so fam buku,he loves his wife very much
laash,kadav,corpse
nadhi ke kinarre ek laash milal ba,enn kadav finn truve bor larivyer,a corpse was found by the river
police laash ke lopital le gal,lapolis finn amenn kadav lopital,the police took the corpse to the hospital
laash ke dekh ke sab darr gal,kan zot finn get kadav tu dimunn inn per,everyone got scared after seeing the corpse
kuyerr,kuyer,spoon
tchini khaye ke kuyerr tchahi,bizin enn kuyer pu manz disik,you need a spoon to eat sugar
kuyerr latab parr rakhal ba,kuyer la lor latab,the spoon is on the table
ham kuyerr se khatayn,mo pe manz avek enn kuyerr,i am eating with a spoon
nokarr,serviter,servant
hamaar nokarr roj sabere awela,mo serviter vinn boner sak gramatin,my servant comes every morning
nokarr gharr sappha kare la,serviter pe netway lakaz la,the servant is cleaning the house
nokarr phajire se kam karat ba,serviter pe travay depi gramatn,the servant has been working since morning
tchhuri,kuto,knife
tchhuri se pom kaata,kup pom la avek kuto,cut the apple with a knife
ii tchhuri bahut tchokha ba,sa kouto la byin fite,this knife is very sharp
tchhuri latab parr rakhal ba,kouto la lor latab,the knife is on the table
manng,reket,appeal
ham nyay ke manng karat bani,mo pe fer enn reket pu lazistis,i am making an appeal for justice
ham tohar manng ke samarthan karathayn,mo siport to reket,i support your appeal
ii manng bahut purrana ba,sa reket la byin vye,this demand is very old
adhikari,ofisye,officer
adhikari daftar me baythal ba,ofisye pe asiz dan biro,the officer is sitting in the office
u ego imanndarr adhikari ba,li enn ofisye onet,he is an honest officer
